DLL injected!
CTEMuzzleFlash->m_flScale: 28
CTEMuzzleFlash->m_nType: 2c
CTELargeFunnel->m_nModelIndex: 1c
CTELargeFunnel->m_nReversed: 20
CTEKillPlayerAttachments->m_nPlayer: 10
CTEImpact->m_vecOrigin: 10
CTEImpact->m_vecNormal: 1c
CTEImpact->m_iType: 28
CTEImpact->m_ucFlags: 2c
CTEGlowSprite->m_vecOrigin: 10
CTEGlowSprite->m_nModelIndex: 1c
CTEGlowSprite->m_fScale: 20
CTEGlowSprite->m_fLife: 24
CTEGlowSprite->m_nBrightness: 28
CTEShatterSurface->m_vecOrigin: 10
CTEShatterSurface->m_vecAngles: 1c
CTEShatterSurface->m_vecForce: 28
CTEShatterSurface->m_vecForcePos: 34
CTEShatterSurface->m_flWidth: 40
CTEShatterSurface->m_flHeight: 44
CTEShatterSurface->m_flShardSize: 48
CTEShatterSurface->m_nSurfaceType: 50
CTEShatterSurface->m_uchFrontColor[0]: 54
CTEShatterSurface->m_uchFrontColor[1]: 55
CTEShatterSurface->m_uchFrontColor[2]: 56
CTEShatterSurface->m_uchBackColor[0]: 57
CTEShatterSurface->m_uchBackColor[1]: 58
CTEShatterSurface->m_uchBackColor[2]: 59
CTEFootprintDecal->m_vecOrigin: 10
CTEFootprintDecal->m_vecDirection: 1c
CTEFootprintDecal->m_nEntity: 34
CTEFootprintDecal->m_nIndex: 38
CTEFootprintDecal->m_chMaterialType: 3c
CTEFizz->m_nEntity: 10
CTEFizz->m_nModelIndex: 14
CTEFizz->m_nDensity: 18
CTEFizz->m_nCurrent: 1c
CTEExplosion->m_nModelIndex: 1c
CTEExplosion->m_fScale: 20
CTEExplosion->m_nFrameRate: 24
CTEExplosion->m_nFlags: 28
CTEExplosion->m_vecNormal: 2c
CTEExplosion->m_chMaterialType: 38
CTEExplosion->m_nRadius: 3c
CTEExplosion->m_nMagnitude: 40
CTEEnergySplash->m_vecPos: 10
CTEEnergySplash->m_vecDir: 1c
CTEEnergySplash->m_bExplosive: 28
CTEEffectDispatch->m_vOrigin.x: 10
CTEEffectDispatch->m_vOrigin.y: 14
CTEEffectDispatch->m_vOrigin.z: 18
CTEEffectDispatch->m_vStart.x: 1c
CTEEffectDispatch->m_vStart.y: 20
CTEEffectDispatch->m_vStart.z: 24
CTEEffectDispatch->m_vAngles: 34
CTEEffectDispatch->m_vNormal: 28
CTEEffectDispatch->m_fFlags: 40
CTEEffectDispatch->m_flMagnitude: 50
CTEEffectDispatch->m_flScale: 4c
CTEEffectDispatch->m_nAttachmentIndex: 58
CTEEffectDispatch->m_nSurfaceProp: 5c
CTEEffectDispatch->m_iEffectName: 74
CTEEffectDispatch->m_nMaterial: 60
CTEEffectDispatch->m_nDamageType: 64
CTEEffectDispatch->m_nHitBox: 68
CTEEffectDispatch->entindex: 10
CTEEffectDispatch->m_nOtherEntIndex: 6c
CTEEffectDispatch->m_nColor: 70
CTEEffectDispatch->m_flRadius: 54
CTEEffectDispatch->m_bPositionsAreRelativeToEntity: 71
CTEEffectDispatch->m_EffectData: 10
CTEDynamicLight->m_vecOrigin: 10
CTEDynamicLight->r: 20
CTEDynamicLight->g: 24
CTEDynamicLight->b: 28
CTEDynamicLight->exponent: 2c
CTEDynamicLight->m_fRadius: 1c
CTEDynamicLight->m_fTime: 30
CTEDynamicLight->m_fDecay: 34
CTEDecal->m_vecOrigin: 10
CTEDecal->m_vecStart: 1c
CTEDecal->m_nEntity: 28
CTEDecal->m_nHitbox: 2c
CTEDecal->m_nIndex: 30
CTEClientProjectile->m_vecOrigin: 10
CTEClientProjectile->m_vecVelocity: 1c
CTEClientProjectile->m_nModelIndex: 28
CTEClientProjectile->m_nLifeTime: 2c
CTEClientProjectile->m_hOwner: 30
CTEBubbleTrail->m_vecMins: 10
CTEBubbleTrail->m_vecMaxs: 1c
CTEBubbleTrail->m_nModelIndex: 2c
CTEBubbleTrail->m_flWaterZ: 28
CTEBubbleTrail->m_nCount: 30
CTEBubbleTrail->m_fSpeed: 34
CTEBubbles->m_vecMins: 10
CTEBubbles->m_vecMaxs: 1c
CTEBubbles->m_nModelIndex: 2c
CTEBubbles->m_fHeight: 28
CTEBubbles->m_nCount: 30
CTEBubbles->m_fSpeed: 34
CTEBSPDecal->m_vecOrigin: 10
CTEBSPDecal->m_nEntity: 1c
CTEBSPDecal->m_nIndex: 20
CTEBreakModel->m_vecOrigin: 10
CTEBreakModel->m_angRotation[0]: 1c
CTEBreakModel->m_angRotation[1]: 20
CTEBreakModel->m_angRotation[2]: 24
CTEBreakModel->m_vecSize: 28
CTEBreakModel->m_vecVelocity: 34
CTEBreakModel->m_nModelIndex: 44
CTEBreakModel->m_nRandomization: 40
CTEBreakModel->m_nCount: 48
CTEBreakModel->m_fTime: 4c
CTEBreakModel->m_nFlags: 50
CTEBloodStream->m_vecDirection: 1c
CTEBloodStream->r: 28
CTEBloodStream->g: 2c
CTEBloodStream->b: 30
CTEBloodStream->a: 34
CTEBloodStream->m_nAmount: 38
CTEBloodSprite->m_vecOrigin: 10
CTEBloodSprite->m_vecDirection: 1c
CTEBloodSprite->r: 28
CTEBloodSprite->g: 2c
CTEBloodSprite->b: 30
CTEBloodSprite->a: 34
CTEBloodSprite->m_nSprayModel: 3c
CTEBloodSprite->m_nDropModel: 38
CTEBloodSprite->m_nSize: 40
CTEBeamSpline->m_nPoints: d0
CTEBeamSpline->m_vecPoints[0]: 10
CTEBeamSpline->m_vecPoints: 0
CTEBeamRingPoint->m_vecCenter: 4c
CTEBeamRingPoint->m_flStartRadius: 58
CTEBeamRingPoint->m_flEndRadius: 5c
CTEBeamRing->m_nStartEntity: 4c
CTEBeamRing->m_nEndEntity: 50
CTEBeamPoints->m_vecStartPoint: 4c
CTEBeamPoints->m_vecEndPoint: 58
CTEBeamLaser->m_nStartEntity: 4c
CTEBeamLaser->m_nEndEntity: 50
CTEBeamFollow->m_iEntIndex: 4c
CTEBeamEnts->m_nStartEntity: 4c
CTEBeamEnts->m_nEndEntity: 50
CTEBeamEntPoint->m_nStartEntity: 4c
CTEBeamEntPoint->m_nEndEntity: 50
CTEBeamEntPoint->m_vecStartPoint: 54
CTEBeamEntPoint->m_vecEndPoint: 60
CTEBaseBeam->m_nModelIndex: 10
CTEBaseBeam->m_nHaloIndex: 14
CTEBaseBeam->m_nStartFrame: 18
CTEBaseBeam->m_nFrameRate: 1c
CTEBaseBeam->m_fLife: 20
CTEBaseBeam->m_fWidth: 24
CTEBaseBeam->m_fEndWidth: 28
CTEBaseBeam->m_nFadeLength: 2c
CTEBaseBeam->m_fAmplitude: 30
CTEBaseBeam->m_nSpeed: 44
CTEBaseBeam->r: 34
CTEBaseBeam->g: 38
CTEBaseBeam->b: 3c
CTEBaseBeam->a: 40
CTEBaseBeam->m_nFlags: 48
CTEMetalSparks->m_vecPos: 10
CTEMetalSparks->m_vecDir: 1c
CSteamJet->m_SpreadSpeed: ac4
CSteamJet->m_Speed: ac8
CSteamJet->m_StartSize: acc
CSteamJet->m_EndSize: ad0
CSteamJet->m_Rate: ad4
CSteamJet->m_JetLength: ad8
CSteamJet->m_bEmit: adc
CSteamJet->m_bFaceLeft: ae4
CSteamJet->m_nType: ae0
CSteamJet->m_spawnflags: ae8
CSteamJet->m_flRollSpeed: aec
CSmokeStack->m_SpreadSpeed: b14
CSmokeStack->m_Speed: b18
CSmokeStack->m_StartSize: b1c
CSmokeStack->m_EndSize: b20
CSmokeStack->m_Rate: b24
CSmokeStack->m_JetLength: b28
CSmokeStack->m_bEmit: b2c
CSmokeStack->m_flBaseSpread: b30
CSmokeStack->m_flTwist: b84
CSmokeStack->m_flRollSpeed: bc0
CSmokeStack->m_iMaterialModel: b88
CSmokeStack->m_AmbientLight.m_vPos: b34
CSmokeStack->m_AmbientLight.m_vColor: b40
CSmokeStack->m_AmbientLight.m_flIntensity: b4c
CSmokeStack->m_DirLight.m_vPos: b50
CSmokeStack->m_DirLight.m_vColor: b5c
CSmokeStack->m_DirLight.m_flIntensity: b68
CSmokeStack->m_vWind: b78
DustTrail->m_SpawnRate: ac4
DustTrail->m_Color: ac8
DustTrail->m_ParticleLifetime: ad8
DustTrail->m_StopEmitTime: ae0
DustTrail->m_MinSpeed: ae4
DustTrail->m_MaxSpeed: ae8
DustTrail->m_MinDirectedSpeed: aec
DustTrail->m_MaxDirectedSpeed: af0
DustTrail->m_StartSize: af4
DustTrail->m_EndSize: af8
DustTrail->m_SpawnRadius: afc
DustTrail->m_bEmit: b0c
DustTrail->m_Opacity: ad4
CFireTrail->m_nAttachment: ac4
CFireTrail->m_flLifetime: ac8
SporeTrail->m_flSpawnRate: acc
SporeTrail->m_vecEndColor: ac0
SporeTrail->m_flParticleLifetime: ad0
SporeTrail->m_flStartSize: ad4
SporeTrail->m_flEndSize: ad8
SporeTrail->m_flSpawnRadius: adc
SporeTrail->m_bEmit: aec
SporeExplosion->m_flSpawnRate: ac4
SporeExplosion->m_flParticleLifetime: ac8
SporeExplosion->m_flStartSize: acc
SporeExplosion->m_flEndSize: ad0
SporeExplosion->m_flSpawnRadius: ad4
SporeExplosion->m_bEmit: adc
SporeExplosion->m_bDontRemove: add
RocketTrail->m_SpawnRate: ac4
RocketTrail->m_StartColor: ac8
RocketTrail->m_EndColor: ad4
RocketTrail->m_ParticleLifetime: ae4
RocketTrail->m_StopEmitTime: ae8
RocketTrail->m_MinSpeed: aec
RocketTrail->m_MaxSpeed: af0
RocketTrail->m_StartSize: af4
RocketTrail->m_EndSize: af8
RocketTrail->m_SpawnRadius: afc
RocketTrail->m_bEmit: b0c
RocketTrail->m_nAttachment: b10
RocketTrail->m_Opacity: ae0
RocketTrail->m_bDamaged: b0d
RocketTrail->m_flFlareScale: b20
SmokeTrail->m_SpawnRate: ac4
SmokeTrail->m_StartColor: ac8
SmokeTrail->m_EndColor: ad4
SmokeTrail->m_ParticleLifetime: ae4
SmokeTrail->m_StopEmitTime: ae8
SmokeTrail->m_MinSpeed: aec
SmokeTrail->m_MaxSpeed: af0
SmokeTrail->m_MinDirectedSpeed: af4
SmokeTrail->m_MaxDirectedSpeed: af8
SmokeTrail->m_StartSize: afc
SmokeTrail->m_EndSize: b00
SmokeTrail->m_SpawnRadius: b04
SmokeTrail->m_bEmit: b14
SmokeTrail->m_nAttachment: b18
SmokeTrail->m_Opacity: ae0
CPropVehicleDriveable->m_hPlayer: 2994
CPropVehicleDriveable->m_nSpeed: 2998
CPropVehicleDriveable->m_nRPM: 299c
CPropVehicleDriveable->m_flThrottle: 29a0
CPropVehicleDriveable->m_nBoostTimeLeft: 29a4
CPropVehicleDriveable->m_nHasBoost: 29a8
CPropVehicleDriveable->m_nScannerDisabledWeapons: 29ac
CPropVehicleDriveable->m_nScannerDisabledVehicle: 29b0
CPropVehicleDriveable->m_bEnterAnimOn: 29d0
CPropVehicleDriveable->m_bExitAnimOn: 29d1
CPropVehicleDriveable->m_bUnableToFire: 2a1d
CPropVehicleDriveable->m_vecEyeExitEndpoint: 2a10
CPropVehicleDriveable->m_bHasGun: 2a1c
CPropVehicleDriveable->m_vecGunCrosshair: 29d8
ParticleSmokeGrenade->m_flSpawnTime: ad4
ParticleSmokeGrenade->m_FadeStartTime: ad8
ParticleSmokeGrenade->m_FadeEndTime: adc
ParticleSmokeGrenade->m_MinColor: ae4
ParticleSmokeGrenade->m_MaxColor: af0
ParticleSmokeGrenade->m_CurrentStage: ac4
CParticleFire->m_vOrigin: acc
CParticleFire->m_vDirection: ad8
CTEGaussExplosion->m_nType: 1c
CTEGaussExplosion->m_vecDirection: 20
CEnvQuadraticBeam->m_targetPosition: 9d8
CEnvQuadraticBeam->m_controlPosition: 9e4
CEnvQuadraticBeam->m_scrollRate: 9f0
CEnvQuadraticBeam->m_flWidth: 9f4
CEmbers->m_nDensity: 9d8
CEmbers->m_nLifetime: 9dc
CEmbers->m_nSpeed: 9e0
CEmbers->m_bEmit: 9e4
CEnvWind->m_iMinWind: 9e4
CEnvWind->m_iMaxWind: 9e8
CEnvWind->m_iMinGust: 9f0
CEnvWind->m_iMaxGust: 9f4
CEnvWind->m_flMinGustDelay: 9f8
CEnvWind->m_flMaxGustDelay: 9fc
CEnvWind->m_iGustDirChange: a04
CEnvWind->m_iWindSeed: 9e0
CEnvWind->m_iInitialWindDir: a44
CEnvWind->m_flInitialWindSpeed: a48
CEnvWind->m_flStartTime: 9dc
CEnvWind->m_flGustDuration: a00
CEnvWind->m_EnvWindShared: 9d8
CPrecipitation->m_nPrecipType: a00
CBaseAttributableItem->m_hOuter: 2dac
CBaseAttributableItem->m_ProviderType: 2db4
CBaseAttributableItem->m_iReapplyProvisionParity: 2da8
CBaseAttributableItem->m_iItemDefinitionIndex: 2fba
CBaseAttributableItem->m_iEntityLevel: 2fc0
CBaseAttributableItem->m_iItemIDHigh: 2fd0
CBaseAttributableItem->m_iItemIDLow: 2fd4
CBaseAttributableItem->m_iAccountID: 2fd8
CBaseAttributableItem->m_iEntityQuality: 2fbc
CBaseAttributableItem->m_bInitialized: 2fe4
CBaseAttributableItem->m_szCustomName: 304c
CBaseAttributableItem->m_Attributes: 3030
CBaseAttributableItem->m_NetworkedDynamicAttributesForDemos: 3030
CBaseAttributableItem->m_Item: 2dd0
CBaseAttributableItem->m_AttributeManager: 2d90
CBaseAttributableItem->m_OriginalOwnerXuidLow: 31d0
CBaseAttributableItem->m_OriginalOwnerXuidHigh: 31d4
CBaseAttributableItem->m_nFallbackPaintKit: 31d8
CBaseAttributableItem->m_nFallbackSeed: 31dc
CBaseAttributableItem->m_flFallbackWear: 31e0
CBaseAttributableItem->m_nFallbackStatTrak: 31e4
CEconEntity->m_hOuter: 2dac
CEconEntity->m_ProviderType: 2db4
CEconEntity->m_iReapplyProvisionParity: 2da8
CEconEntity->m_iItemDefinitionIndex: 2fba
CEconEntity->m_iEntityLevel: 2fc0
CEconEntity->m_iItemIDHigh: 2fd0
CEconEntity->m_iItemIDLow: 2fd4
CEconEntity->m_iAccountID: 2fd8
CEconEntity->m_iEntityQuality: 2fbc
CEconEntity->m_bInitialized: 2fe4
CEconEntity->m_szCustomName: 304c
CEconEntity->m_Attributes: 3030
CEconEntity->m_NetworkedDynamicAttributesForDemos: 3030
CEconEntity->m_Item: 2dd0
CEconEntity->m_AttributeManager: 2d90
CEconEntity->m_OriginalOwnerXuidLow: 31d0
CEconEntity->m_OriginalOwnerXuidHigh: 31d4
CEconEntity->m_nFallbackPaintKit: 31d8
CEconEntity->m_nFallbackSeed: 31dc
CEconEntity->m_flFallbackWear: 31e0
CEconEntity->m_nFallbackStatTrak: 31e4
CWeaponXM1014->m_reloadState: 33e4
CWeaponTaser->m_fFireTime: 3400
CTablet->m_flUpgradeExpirationTime[0]: 33e8
CTablet->m_flUpgradeExpirationTime: 0
CTablet->m_vecLocalHexFlags[0]: 33f8
CTablet->m_vecLocalHexFlags: 0
CTablet->m_nContractKillGridIndex: 34a0
CTablet->m_nContractKillGridHighResIndex: 34a4
CTablet->m_bTabletReceptionIsBlocked: 34a8
CTablet->m_flScanProgress: 34ac
CTablet->m_flBootTime: 34b0
CTablet->m_flShowMapTime: 34b4
CTablet->m_vecNotificationIds[0]: 34c4
CTablet->m_vecNotificationIds: 0
CTablet->m_vecNotificationTimestamps[0]: 34e4
CTablet->m_vecNotificationTimestamps: 0
CTablet->m_vecPlayerPositionHistory[0]: 3508
CTablet->m_vecPlayerPositionHistory: 0
CTablet->m_nLastPurchaseIndex: 3504
CTablet->m_vecNearestMetalCratePos: 34b8
CWeaponShield->m_flDisplayHealth: 3400
CWeaponSawedoff->m_reloadState: 33e4
CWeaponNOVA->m_reloadState: 33e4
CMelee->m_flThrowAt: 33e0
CWeaponM3->m_reloadState: 33e4
CFists->m_bPlayingUninterruptableAct: 33e0
CWeaponCSBaseGun->m_zoomLevel: 33e0
CWeaponCSBaseGun->m_iBurstShotsRemaining: 33e4
CWeaponCSBase->m_weaponMode: 3328
CWeaponCSBase->m_fAccuracyPenalty: 3340
CWeaponCSBase->m_fLastShotTime: 33b8
CWeaponCSBase->m_iRecoilIndex: 3350
CWeaponCSBase->m_flRecoilIndex: 3354
CWeaponCSBase->m_hPrevOwner: 3394
CWeaponCSBase->m_bBurstMode: 3358
CWeaponCSBase->m_flPostponeFireReadyTime: 335c
CWeaponCSBase->m_bReloadVisuallyComplete: 3360
CWeaponCSBase->m_bSilencerOn: 3361
CWeaponCSBase->m_flDoneSwitchingSilencer: 3364
CWeaponCSBase->m_iOriginalTeamNumber: 336c
CWeaponCSBase->m_iIronSightMode: 33d4
CC4->m_bStartedArming: 3400
CC4->m_bBombPlacedAnimation: 3408
CC4->m_fArmedTime: 3404
CC4->m_bShowC4LED: 3409
CC4->m_bIsPlantingViaUse: 340a
CBumpMineProjectile->m_nParentBoneIndex: 29e4
CBumpMineProjectile->m_vecParentBonePos: 29e8
CBumpMineProjectile->m_bArmed: 29f4
CBreachChargeProjectile->m_bShouldExplode: 29e0
CBreachChargeProjectile->m_weaponThatThrewMe: 29e4
CBreachChargeProjectile->m_nParentBoneIndex: 29e8
CBreachChargeProjectile->m_vecParentBonePos: 29ec
CWeaponBaseItem->m_bRedraw: 33ec
CBaseCSGrenade->m_bRedraw: 33e0
CBaseCSGrenade->m_bIsHeldByPlayer: 33e1
CBaseCSGrenade->m_bPinPulled: 33e2
CBaseCSGrenade->m_fThrowTime: 33e4
CBaseCSGrenade->m_bLoopingSoundPlaying: 33e8
CBaseCSGrenade->m_flThrowStrength: 33ec
CBaseCSGrenade->m_fDropTime: 33f0
CSmokeGrenadeProjectile->m_bDidSmokeEffect: 2a24
CSmokeGrenadeProjectile->m_nSmokeEffectTickBegin: 2a20
CMolotovProjectile->m_bIsIncGrenade: 2a20
CItemDogtags->m_OwningPlayer: 3450
CItemDogtags->m_KillingPlayer: 3454
CPhysPropLootCrate->m_bRenderInPSPM: 2a04
CPhysPropLootCrate->m_bRenderInTablet: 2a05
CPhysPropLootCrate->m_iHealth: 100
CPhysPropLootCrate->m_iMaxHealth: 2a08
CEnvGasCanister->m_flFlightSpeed: 2a04
CEnvGasCanister->m_flLaunchTime: 2a08
CEnvGasCanister->m_vecParabolaDirection: 2a1c
CEnvGasCanister->m_flFlightTime: 2a00
CEnvGasCanister->m_flWorldEnterTime: 2a28
CEnvGasCanister->m_flInitialZSpeed: 2a0c
CEnvGasCanister->m_flZAcceleration: 2a10
CEnvGasCanister->m_flHorizSpeed: 2a14
CEnvGasCanister->m_bLaunchedFromWithinWorld: 2a18
CEnvGasCanister->m_vecImpactPosition: 29c4
CEnvGasCanister->m_vecStartPosition: 29d0
CEnvGasCanister->m_vecEnterWorldPosition: 29dc
CEnvGasCanister->m_vecDirection: 29e8
CEnvGasCanister->m_vecStartAngles: 29f4
CEnvGasCanister->m_vecSkyboxOrigin: 2a2c
CEnvGasCanister->m_flSkyboxScale: 2a38
CEnvGasCanister->m_bInSkybox: 2a3c
CEnvGasCanister->m_bDoImpactEffects: 2a3d
CEnvGasCanister->m_bLanded: 2990
CEnvGasCanister->m_hSkyboxCopy: 29b8
CEnvGasCanister->m_nMyZoneIndex: 2a40
CEnvGasCanister->m_vecOrigin: 138
CEnvGasCanister->m_vecOrigin[2]: 140
CDronegun->m_vecAttentionTarget: 2990
CDronegun->m_vecTargetOffset: 299c
CDronegun->m_iHealth: 100
CDronegun->m_bHasTarget: 29a8
CParadropChopper->m_vecOrigin: 138
CParadropChopper->m_vecOrigin[2]: 140
CParadropChopper->m_hCallingPlayer: 29a0
CSurvivalSpawnChopper->m_vecOrigin: 138
CSurvivalSpawnChopper->m_vecOrigin[2]: 140
CBRC4Target->m_bBrokenOpen: 2994
CBRC4Target->m_flRadius: 2998
CInfoMapRegion->m_flRadius: 9d8
CInfoMapRegion->m_szLocToken: 9dc
CInferno->m_fireXDelta: 9e4
CInferno->m_fireYDelta: b74
CInferno->m_fireZDelta: d04
CInferno->m_bFireIsBurning: e94
CInferno->m_nFireEffectTickBegin: 13b4
CInferno->m_fireCount: 13a8
CChicken->m_jumpedThisFrame: 29f8
CChicken->m_leader: 29fc
CDrone->m_hMoveToThisEntity: 29e8
CDrone->m_hDeliveryCargo: 29ec
CDrone->m_bPilotTakeoverAllowed: 29f0
CDrone->m_hPotentialCargo: 29f4
CDrone->m_hCurrentPilot: 29f8
CDrone->m_vecTagPositions[0]: 29fc
CDrone->m_vecTagPositions: 0
CDrone->m_vecTagIncrements[0]: 2b1c
CDrone->m_vecTagIncrements: 0
CFootstepControl->m_source: a10
CFootstepControl->m_destination: a20
CCSGameRulesProxy->m_bFreezePeriod: 20
CCSGameRulesProxy->m_bMatchWaitingForResume: 41
CCSGameRulesProxy->m_bWarmupPeriod: 21
CCSGameRulesProxy->m_fWarmupPeriodEnd: 24
CCSGameRulesProxy->m_fWarmupPeriodStart: 28
CCSGameRulesProxy->m_bTerroristTimeOutActive: 2c
CCSGameRulesProxy->m_bCTTimeOutActive: 2d
CCSGameRulesProxy->m_flTerroristTimeOutRemaining: 30
CCSGameRulesProxy->m_flCTTimeOutRemaining: 34
CCSGameRulesProxy->m_nTerroristTimeOuts: 38
CCSGameRulesProxy->m_nCTTimeOuts: 3c
CCSGameRulesProxy->m_bTechnicalTimeOut: 40
CCSGameRulesProxy->m_iRoundTime: 44
CCSGameRulesProxy->m_gamePhase: 60
CCSGameRulesProxy->m_totalRoundsPlayed: 64
CCSGameRulesProxy->m_nOvertimePlaying: 68
CCSGameRulesProxy->m_timeUntilNextPhaseStarts: 5c
CCSGameRulesProxy->m_flCMMItemDropRevealStartTime: 878
CCSGameRulesProxy->m_flCMMItemDropRevealEndTime: 87c
CCSGameRulesProxy->m_fRoundStartTime: 4c
CCSGameRulesProxy->m_bGameRestart: 54
CCSGameRulesProxy->m_flRestartRoundTime: 50
CCSGameRulesProxy->m_flGameStartTime: 58
CCSGameRulesProxy->m_iHostagesRemaining: 6c
CCSGameRulesProxy->m_bAnyHostageReached: 70
CCSGameRulesProxy->m_bMapHasBombTarget: 71
CCSGameRulesProxy->m_bMapHasRescueZone: 72
CCSGameRulesProxy->m_bMapHasBuyZone: 73
CCSGameRulesProxy->m_bIsQueuedMatchmaking: 74
CCSGameRulesProxy->m_nQueuedMatchmakingMode: 78
CCSGameRulesProxy->m_bIsValveDS: 7c
CCSGameRulesProxy->m_bIsQuestEligible: 881
CCSGameRulesProxy->m_bLogoMap: 7d
CCSGameRulesProxy->m_bPlayAllStepSoundsOnServer: 7e
CCSGameRulesProxy->m_iNumGunGameProgressiveWeaponsCT: 80
CCSGameRulesProxy->m_iNumGunGameProgressiveWeaponsT: 84
CCSGameRulesProxy->m_iSpectatorSlotCount: 88
CCSGameRulesProxy->m_bBombDropped: 9a4
CCSGameRulesProxy->m_bBombPlanted: 9a5
CCSGameRulesProxy->m_iRoundWinStatus: 9a8
CCSGameRulesProxy->m_eRoundWinReason: 9ac
CCSGameRulesProxy->m_flDMBonusStartTime: 454
CCSGameRulesProxy->m_flDMBonusTimeLength: 458
CCSGameRulesProxy->m_unDMBonusWeaponLoadoutSlot: 45c
CCSGameRulesProxy->m_bDMBonusActive: 45e
CCSGameRulesProxy->m_bTCantBuy: 9b0
CCSGameRulesProxy->m_bCTCantBuy: 9b1
CCSGameRulesProxy->m_flGuardianBuyUntilTime: 9b4
CCSGameRulesProxy->m_iMatchStats_RoundResults: 9b8
CCSGameRulesProxy->m_iMatchStats_PlayersAlive_T: aa8
CCSGameRulesProxy->m_iMatchStats_PlayersAlive_CT: a30
CCSGameRulesProxy->m_GGProgressiveWeaponOrderCT: 8c
CCSGameRulesProxy->m_GGProgressiveWeaponOrderT: 17c
CCSGameRulesProxy->m_GGProgressiveWeaponKillUpgradeOrderCT: 26c
CCSGameRulesProxy->m_GGProgressiveWeaponKillUpgradeOrderT: 35c
CCSGameRulesProxy->m_MatchDevice: 44c
CCSGameRulesProxy->m_bHasMatchStarted: 450
CCSGameRulesProxy->m_TeamRespawnWaveTimes: b20
CCSGameRulesProxy->m_flNextRespawnWave: ba0
CCSGameRulesProxy->m_nNextMapInMapgroup: 460
CCSGameRulesProxy->m_nEndMatchMapGroupVoteTypes: c28
CCSGameRulesProxy->m_nEndMatchMapGroupVoteOptions: c50
CCSGameRulesProxy->m_nEndMatchMapVoteWinner: c78
CCSGameRulesProxy->m_bIsDroppingItems: 880
CCSGameRulesProxy->m_iActiveAssassinationTargetMissionID: c20
CCSGameRulesProxy->m_fMatchStartTime: 48
CCSGameRulesProxy->m_szTournamentEventName: 464
CCSGameRulesProxy->m_szTournamentEventStage: 568
CCSGameRulesProxy->m_szTournamentPredictionsTxt: 770
CCSGameRulesProxy->m_nTournamentPredictionsPct: 874
CCSGameRulesProxy->m_szMatchStatTxt: 66c
CCSGameRulesProxy->m_nGuardianModeWaveNumber: 884
CCSGameRulesProxy->m_nGuardianModeSpecialKillsRemaining: 888
